merchant,public_category,root,mid_level,leaf
LaMar's Donuts,Doughnut Chain,Expense,Food & Dining,Bakery & Desserts
Lamy,Writing Instruments (Germany),Expense,Shopping,Office Supplies
Lancôme,Prestige Beauty (French),Expense,Health & Wellness,Beauty & Spa
Land of Nod,Kids Furniture,Expense,Shopping,Home & Garden
Landmark Theatres,Art House Cinema,Expense,Entertainment,Movies & Events
Landry's,Seafood Restaurant,Expense,Food & Dining,Restaurants
Laneige,K-Beauty Skincare,Expense,Health & Wellness,Beauty & Spa
Larian Studios,RPG Developer (BG3),Expense,Entertainment,Gaming
Lark,Collaboration Suite (ByteDance),Expense,Technology,Software & SaaS
LaRosa's,Pizza Chain (Cincinnati),Expense,Food & Dining,Fast Food
Las Iguanas,Latin American Restaurant (UK),Expense,Food & Dining,Restaurants
Laser Away,Laser Hair Removal,Expense,Health & Wellness,Beauty & Spa
Lassens Natural Foods,Organic Grocery,Expense,Food & Dining,Groceries
LastPass,Password Manager,Expense,Technology,Software & SaaS
LATAM Airlines,Major Airline (Latin Am),Expense,Travel,Airlines
Lateral,Casual Dining (Spain),Expense,Food & Dining,Restaurants
Lavazza,Italian Coffee Chain,Expense,Food & Dining,Coffee & Tea
Lawn Doctor,Lawn Care Franchise,Expense,Housing & Utilities,Utilities
Lawry's The Prime Rib,Fine Dining,Expense,Food & Dining,Restaurants
Lawson,Convenience Store Chain,Expense,Food & Dining,Groceries
Lazada,Online Marketplace (SE Asia),Expense,Shopping,General Retail
Lazy Acres,Natural Grocery,Expense,Food & Dining,Groceries
Le Bernardin,French Fine Dining (NYC),Expense,Food & Dining,Restaurants
Le Bon Marché,Department Store (France),Expense,Shopping,General Retail
Le Chateau,Bakery & Restaurant (Lebanon),Expense,Food & Dining,Restaurants
Le Creuset,Premium Cookware (French),Expense,Shopping,Home & Garden
Le Labo,Niche Fragrance,Expense,Health & Wellness,Beauty & Spa
Le Pain Quotidien,Bakery Cafe Chain,Expense,Food & Dining,Restaurants
Le Tote,Fashion Rental,Expense,Shopping,Clothing & Apparel
LeapFrog,Educational Technology Toys,Expense,Kids & Family,Toys & Activities
Learning Resources,Educational Toys & Games,Expense,Kids & Family,Toys & Activities
Leclerc,Hypermarket Chain,Expense,Food & Dining,Groceries
Lee Jeans,Denim Apparel,Expense,Shopping,Clothing & Apparel
Lee's Famous Recipe,Fast Food Fried Chicken,Expense,Food & Dining,Fast Food
LeetCode,Coding Interview Prep,Expense,Education,Online Learning
Legal Sea Foods,Seafood Restaurant,Expense,Food & Dining,Restaurants
LEGO Store,Building Toy Retailer,Expense,Kids & Family,Toys & Activities
Legoland,Theme Park,Expense,Entertainment,Amusement & Parks
Legoland Windsor,Theme Park (UK),Expense,Entertainment,Amusement & Parks
Lemaire,Minimalist Fashion (France),Expense,Shopping,Clothing & Apparel
Lemonade Insurance,Digital Insurance,Expense,Housing & Utilities,Utilities
Lemonade Pet,Pet Insurance,Expense,Shopping,Pet Supplies
LendingClub,Peer-to-Peer Lending,Expense,Financial Services,Banking Fees
Lennox HVAC,Heating & Cooling,Expense,Housing & Utilities,Home Services
Lenovo,Computer Manufacturer,Expense,Shopping,Electronics
Lenta,Hypermarket Chain,Expense,Food & Dining,Groceries
Leon,Fast Casual Natural Food,Expense,Food & Dining,Fast Food
Leroy Merlin,Home Improvement (France/EU),Expense,Shopping,Home & Garden
Les 3 Brasseurs,Brewpub (France/Canada),Expense,Food & Dining,Restaurants
Les Mills On Demand,Fitness Streaming,Expense,Entertainment,Sports & Recreation
Les Schwab,Tire & Auto Service,Expense,Transportation,Car Service & Parts
Leuchtturm1917,Premium Notebooks (Germany),Expense,Shopping,Office Supplies
Levain Bakery,Cookie Bakery,Expense,Food & Dining,Bakery & Desserts
Levi's,Denim & Casual Apparel,Expense,Shopping,Clothing & Apparel
Lexington Home Brands,Furniture,Expense,Shopping,Home & Garden
Lexus Service,Automobile Dealer Service,Expense,Transportation,Car Service & Parts
LG Electronics,Electronics Manufacturer,Expense,Shopping,Electronics
Liberty London,Department Store (UK),Expense,Shopping,General Retail
Liberty Mutual,Auto & Home Insurance,Expense,Housing & Utilities,Utilities
Liberty Tax,Tax Preparation,Expense,Financial Services,Banking Fees
Libro.fm,Indie Audiobook Service,Expense,Shopping,Books & Media
Lick Honest Ice Creams,Ice Cream (Austin),Expense,Food & Dining,Ice Cream & Yogurt
Lidl,Discount Supermarket,Expense,Food & Dining,Groceries
Lidl UK,Discount Supermarket,Expense,Food & Dining,Groceries
Lieferando,Food Delivery (Germany),Expense,Food & Dining,Food Delivery
Life Fitness,Commercial Fitness Equipment,Expense,Shopping,Sporting Goods
Life Supermarket,Supermarket,Expense,Food & Dining,Groceries
Lifetime Fitness,Premium Fitness Club,Expense,Entertainment,Sports & Recreation
Ligue 1,French Soccer League,Expense,Entertainment,Sports & Recreation
Lime,Scooter & Bike Share,Expense,Transportation,Rideshare
Lincoln Financial,Insurance & Annuities,Expense,Financial Services,Banking Fees
Lindt,Swiss Chocolate,Expense,Food & Dining,Snacks & Drinks
LINE MAN,Food Delivery (Thailand),Expense,Food & Dining,Food Delivery
Linear,Issue Tracking for Engineers,Expense,Technology,Software & SaaS
Lingoda,Online Language School,Expense,Education,Online Learning
LinkedIn Learning,Professional Courses,Expense,Education,Online Learning
LinkedIn Premium,Professional Networking,Expense,Technology,Software & SaaS
Linksys,Networking Equipment,Expense,Shopping,Electronics
Lion Air,Low-Cost (Indonesia),Expense,Travel,Airlines
Liseberg,Amusement Park (Sweden),Expense,Entertainment,Amusement & Parks
Little Caesars,Pizza Chain,Expense,Food & Dining,Fast Food
Little Passports,Kids Educational Subscription,Expense,Kids & Family,Toys & Activities
Little Sheep,Mongolian Hot Pot,Expense,Food & Dining,Restaurants
Little Sheep Hot Pot,Mongolian Hot Pot,Expense,Food & Dining,Restaurants
Little Tikes,Children's Toys & Furniture,Expense,Kids & Family,Toys & Activities
Live Nation,Concert & Event Promoter,Expense,Entertainment,Movies & Events
Liverpool,Department Store (Mexico),Expense,Shopping,General Retail
Livestrong Foundation,Cancer Support,Expense,Donations & Gifts,Charity & Donations
Lizarran,Tapas Chain (Spain),Expense,Food & Dining,Restaurants
Lloyds Bank,Bank (UK),Expense,Financial Services,Banking Fees
LloydsPharmacy,Pharmacy (UK),Expense,Health & Wellness,Pharmacy
Lodge Cast Iron,Cast Iron Cookware,Expense,Shopping,Home & Garden
Loewe,Luxury Fashion (Spain),Expense,Shopping,Clothing & Apparel
Logitech,Computer Peripherals,Expense,Shopping,Electronics
Logitech G,Gaming Peripherals,Expense,Entertainment,Gaming
Logseq,Knowledge Graph App,Expense,Technology,Software & SaaS
Lombardi's,Historic Pizza (NYC),Expense,Food & Dining,Restaurants
Londis,Convenience Store,Expense,Food & Dining,Groceries
London Zoo,Zoo (UK),Expense,Entertainment,Amusement & Parks
Lone Star Rib House,American (AU),Expense,Food & Dining,Restaurants
Long John Silver's,Fast Food Seafood,Expense,Food & Dining,Fast Food
LongHorn Steakhouse,Casual Dining Steakhouse,Expense,Food & Dining,Restaurants
Longo's,Supermarket (Ontario),Expense,Food & Dining,Groceries
Loom,Async Video Messaging,Expense,Technology,Software & SaaS
Loro Piana,Luxury Italian Textiles,Expense,Shopping,Clothing & Apparel
Lose It!,Weight Loss App,Expense,Entertainment,Sports & Recreation
LOT Polish Airlines,Airline (Poland),Expense,Travel,Airlines
Lotte Cinema,Movie Theater (Korea),Expense,Entertainment,Movies & Events
Lotte Department Store,Department Store (Korea),Expense,Shopping,General Retail
Lotte Mart,Hypermarket Chain,Expense,Food & Dining,Groceries
Lotte Plaza,Asian Supermarket,Expense,Food & Dining,Groceries
Lotte Plaza Market,Korean Supermarket,Expense,Food & Dining,Groceries
Lotte World,Theme Park (Korea),Expense,Entertainment,Amusement & Parks
Lotteria,Fast Food (Korean),Expense,Food & Dining,Fast Food
Lou Malnati's,Deep Dish Pizza (Chicago),Expense,Food & Dining,Restaurants
Louis Philippe,Men's Premium Fashion (India),Expense,Shopping,Clothing & Apparel
Louis Vuitton,Luxury Fashion House,Expense,Shopping,Clothing & Apparel
Louisville Slugger,Baseball Bats,Expense,Shopping,Sporting Goods
Louvre,Art Museum (France),Expense,Entertainment,Movies & Events
Love's Travel Stops,Travel Center,Expense,Food & Dining,Groceries
"Love, Bonito",Women's Fashion (Singapore),Expense,Shopping,Clothing & Apparel
Lovevery,Age-Appropriate Toy Subscription,Expense,Kids & Family,Toys & Activities
Lowe's,Home Improvement Retailer,Expense,Shopping,Home & Garden
Lowe's Garden,Garden Center,Expense,Shopping,Home & Garden
Lowes Foods,Supermarket (SE US),Expense,Food & Dining,Groceries
Luby's,Cafeteria-Style Restaurant,Expense,Food & Dining,Restaurants
Lucali,Pizza (Brooklyn),Expense,Food & Dining,Restaurants
Lucidchart,Diagramming Tool,Expense,Technology,Software & SaaS
Luckin Coffee,Coffee Chain (China),Expense,Food & Dining,Coffee & Tea
Lucky Strike,Bowling & Lounge,Expense,Entertainment,Amusement & Parks
Lucky Supermarkets,Supermarket,Expense,Food & Dining,Groceries
Lucky's Market,Natural Grocery,Expense,Food & Dining,Groceries
Lufthansa,Major Airline (Germany),Expense,Travel,Airlines
Luke's Lobster,Lobster Roll Shop,Expense,Food & Dining,Restaurants
Lukoil,Gas Station (Russia),Expense,Transportation,Gas & Fuel
Lulu Hypermarket,Hypermarket Chain,Expense,Food & Dining,Groceries
Lululemon,Athletic Apparel (Yoga),Expense,Shopping,Clothing & Apparel
lululemon,Athletic Apparel (Yoga),Expense,Shopping,Sporting Goods
Luminar,AI Photo Editor,Expense,Technology,Software & SaaS
Luna Park,Amusement Park (AU),Expense,Entertainment,Amusement & Parks
Lunds & Byerlys,Premium Grocery (MN),Expense,Food & Dining,Groceries
Lune Croissanterie,Croissant Bakery (Melbourne),Expense,Food & Dining,Bakery & Desserts
Lush,Fresh Handmade Cosmetics,Expense,Health & Wellness,Beauty & Spa
Lutron,Smart Lighting Controls,Expense,Housing & Utilities,Home Services
Luvs,Budget Diapers,Expense,Kids & Family,Toys & Activities
LXR Hotels,Luxury Collection,Expense,Travel,Hotels & Lodging
Lyft,Ride-Hailing Service,Expense,Transportation,Rideshare
Lyreco,Office Supplies (B2B EU),Expense,Shopping,Office Supplies
Lyric,Luxury Apartment Hotel,Expense,Travel,Hotels & Lodging
M&S Food,Premium Food Retailer,Expense,Food & Dining,Groceries
M1 Finance,Investment Platform,Expense,Financial Services,Banking Fees
Maaco,Auto Paint & Collision,Expense,Transportation,Car Service & Parts
MAC Cosmetics,Prestige Cosmetics,Expense,Health & Wellness,Beauty & Spa
Macaroni Grill,Italian Casual Dining,Expense,Food & Dining,Restaurants
Macy's,Department Store,Expense,Shopping,General Retail
Mad Mex,Mexican Fast Casual (Australia),Expense,Food & Dining,Restaurants
Madcap Coffee,Specialty Coffee (Michigan),Expense,Food & Dining,Coffee & Tea
Madero,Burger & Steak (Brazil),Expense,Food & Dining,Restaurants
Madewell,Denim & Casual (J.Crew Group),Expense,Shopping,Clothing & Apparel
Madison Reed,Hair Color Salon & DTC,Expense,Health & Wellness,Beauty & Spa
Maestro Pizza,Pizza (Saudi Arabia),Expense,Food & Dining,Restaurants
Magazine Luiza,Retail & E-Commerce (Brazil),Expense,Shopping,General Retail
Magellan Health,Behavioral Health,Expense,Financial Services,Banking Fees
Maggiano's,Italian Casual Dining,Expense,Food & Dining,Restaurants
Maggiano's Little Italy,Italian Casual Dining,Expense,Food & Dining,Restaurants
Magna-Tiles,Magnetic Building Tiles,Expense,Kids & Family,Toys & Activities
Magnit,Supermarket Chain,Expense,Food & Dining,Groceries
Magnolia Bakery,Cupcake & Dessert Bakery,Expense,Food & Dining,Bakery & Desserts
Magnum,Premium Ice Cream,Expense,Food & Dining,Ice Cream & Yogurt
Magoosh,Online Test Prep,Expense,Education,Online Learning
Mah-Ze-Dahr Bakery,Fine Bakery (NYC),Expense,Food & Dining,Bakery & Desserts
Maharaja Palace,Indian Restaurant,Expense,Food & Dining,Restaurants
Mailchimp,Email Marketing,Expense,Technology,Software & SaaS
Main Event,Entertainment Center,Expense,Entertainment,Amusement & Parks
Mainland China,Chinese Restaurant (India),Expense,Food & Dining,Restaurants
MainStay Suites,Extended Stay,Expense,Travel,Hotels & Lodging
Maison Kayser,French Bakery,Expense,Food & Dining,Bakery & Desserts
Maison Kitsuné,Fashion & Lifestyle,Expense,Shopping,Clothing & Apparel
Maison Margiela,Avant-Garde Fashion,Expense,Shopping,Clothing & Apparel
Maisons du Monde,Home Décor (France),Expense,Shopping,Home & Garden
Maje,French Contemporary Fashion,Expense,Shopping,Clothing & Apparel
Make-A-Wish,Children's Charity,Expense,Donations & Gifts,Charity & Donations
Make-A-Wish Foundation,Children's Charity,Expense,Donations & Gifts,Charity & Donations
MakeMyTrip,Travel Booking (India),Expense,Travel,Hotels & Lodging
Malaysia Airlines,Airline (Malaysia),Expense,Travel,Airlines
Malco Theatres,Movie Theater,Expense,Entertainment,Movies & Events
Malwarebytes,Anti-Malware Software,Expense,Technology,Software & SaaS
Mammut,Mountain Sports (Switzerland),Expense,Shopping,Sporting Goods
Mandarin Oriental,Luxury Hotel,Expense,Travel,Hotels & Lodging
Mandarin Oriental Tokyo,Luxury Hotel (Japan),Expense,Travel,Hotels & Lodging
Manduka,Yoga Mats & Apparel,Expense,Shopping,Clothing & Apparel
Manfrotto,Camera Tripods & Accessories,Expense,Shopping,Electronics
Mango,Fashion Apparel,Expense,Shopping,Clothing & Apparel
Mango Man,Men's Fashion (Spain),Expense,Shopping,Clothing & Apparel
Manhattan Bagel,Bagel Chain,Expense,Food & Dining,Bakery & Desserts
Manhattan Fish Market,Seafood Restaurant,Expense,Food & Dining,Restaurants
Manhattan Prep,GMAT/GRE Prep,Expense,Education,Online Learning
Manner Coffee,Coffee Chain (China),Expense,Food & Dining,Coffee & Tea
Manolo Blahnik,Luxury Footwear,Expense,Shopping,Clothing & Apparel
Manoushe Street,Lebanese Flatbread,Expense,Food & Dining,Restaurants
Manscaped,Men's Grooming,Expense,Health & Wellness,Beauty & Spa
Mapco,Gas & Convenience,Expense,Transportation,Gas & Fuel
Maple Street Biscuit,Breakfast,Expense,Food & Dining,Restaurants
Marantz,Audio Equipment,Expense,Shopping,Electronics
Marathon,Gas Station,Expense,Transportation,Gas & Fuel
Marble Slab Creamery,Ice Cream Chain,Expense,Food & Dining,Ice Cream & Yogurt
Marc O'Polo,Premium Fashion (Germany),Expense,Shopping,Clothing & Apparel
March of Dimes,Maternal/Child Health,Expense,Donations & Gifts,Charity & Donations
Marco's Pizza,Pizza Chain,Expense,Food & Dining,Fast Food
Marcus Theatres,Movie Theater Chain,Expense,Entertainment,Movies & Events
Maredo,Steakhouse (Germany),Expense,Food & Dining,Restaurants
Marie Callender's,Family Restaurant & Pies,Expense,Food & Dining,Restaurants
Marimekko,Fashion & Home (Finland),Expense,Shopping,Clothing & Apparel
Marion's Piazza,Pizza (Dayton OH),Expense,Food & Dining,Fast Food
Mark Cuban Cost Plus Drug,Low-Cost Pharmacy,Expense,Financial Services,Banking Fees
Market Basket,Supermarket,Expense,Food & Dining,Groceries
Market Lane Coffee,Specialty Coffee (Melbourne),Expense,Food & Dining,Coffee & Tea
Market Street,Supermarket (TX),Expense,Food & Dining,Groceries
Marmot,Outdoor Apparel,Expense,Shopping,Clothing & Apparel
Marni,Contemporary Luxury (Italy),Expense,Shopping,Clothing & Apparel
Marqt,Premium Grocery (Netherlands),Expense,Food & Dining,Groceries
Marriott,Hotel Chain,Expense,Travel,Hotels & Lodging
Marrybrown,Fast Food (Malaysia),Expense,Food & Dining,Fast Food
Marshall,Audio Equipment (UK),Expense,Shopping,Electronics
Marshall Headphones,Audio Brand (UK),Expense,Shopping,Electronics
Marshalls,Off-Price Department Store,Expense,Shopping,General Retail
MARTA,Atlanta Transit,Expense,Transportation,Public Transit
Martin's Super Markets,Supermarket,Expense,Food & Dining,Groceries
Marugame Udon,Udon Restaurant Chain,Expense,Food & Dining,Restaurants
Marukai,Japanese Supermarket,Expense,Food & Dining,Groceries
Mary Brown's Chicken,Fried Chicken (Canada),Expense,Food & Dining,Restaurants
Masala Zone,Indian Casual Dining (UK),Expense,Food & Dining,Restaurants
Mashawi,Middle Eastern Grill,Expense,Food & Dining,Restaurants
Massage Envy,Massage & Spa Chain,Expense,Health & Wellness,Beauty & Spa
Massimo Dutti,Premium Casual (Inditex),Expense,Shopping,Clothing & Apparel
MassMutual,Life Insurance,Expense,Financial Services,Banking Fees
MasterClass,Celebrity-Led Courses,Expense,Education,Online Learning
Mastro's,Fine Dining Steakhouse,Expense,Food & Dining,Restaurants
Mathnasium,Math Learning Center,Expense,Education,Online Learning
Matsumoto Kiyoshi,Drugstore (Japan),Expense,Health & Wellness,Pharmacy
Matsuya,Fast Food Gyudon (Japan),Expense,Food & Dining,Fast Food
Mattress Firm,Mattress Retailer,Expense,Shopping,Home & Garden
Maven,Car Sharing (GM),Expense,Transportation,Rideshare
Maverik,Convenience Store & Gas,Expense,Food & Dining,Groceries
Maverik Gas,Convenience Store Gas,Expense,Transportation,Gas & Fuel
Mavis Discount Tire,Tire Retailer,Expense,Transportation,Car Service & Parts
Max Burgers,Fast Food Burger (Sweden),Expense,Food & Dining,Fast Food
Max Mara,Luxury Fashion (Italy),Expense,Shopping,Clothing & Apparel
Maxi,Discount Grocery (Quebec),Expense,Food & Dining,Groceries
Maxi Zoo,Pet Supply (EU),Expense,Shopping,Pet Supplies
Maxim,Ride-Hailing (Russia/Asia),Expense,Transportation,Rideshare
Maybelline,Mass Market Cosmetics,Expense,Health & Wellness,Beauty & Spa
Mazda Service,Automobile Dealer Service,Expense,Transportation,Car Service & Parts
Maze,User Testing Platform,Expense,Technology,Software & SaaS
MBTA,Massachusetts Transit,Expense,Transportation,Public Transit
McAfee,Cybersecurity Software,Expense,Technology,Software & SaaS
McAlister's Deli,Fast Casual Deli,Expense,Food & Dining,Fast Food
McCafé,McDonald's Coffee Brand,Expense,Food & Dining,Coffee & Tea
McColl's,Convenience Store,Expense,Food & Dining,Groceries
McConnell's Fine Ice Creams,Artisan Ice Cream,Expense,Food & Dining,Ice Cream & Yogurt
McCormick & Schmick's,Upscale Seafood,Expense,Food & Dining,Restaurants
McDonald's,Fast Food Restaurant,Expense,Food & Dining,Fast Food
McDonald's India,Fast Food (India),Expense,Food & Dining,Restaurants
McFIT,Gym Chain (Germany),Expense,Entertainment,Sports & Recreation
McGraw Hill,Educational Publisher,Expense,Education,Online Learning
MDLive,Telehealth Platform,Expense,Financial Services,Banking Fees
Mediacom,Cable & Internet,Expense,Housing & Utilities,Utilities
MediaMarkt,Electronics Retailer (EU),Expense,Shopping,Electronics
Medieval Times,Dinner & Tournament,Expense,Entertainment,Movies & Events
Medium,Writing & Publishing Platform,Expense,Technology,Software & SaaS
MedPlus,Pharmacy (India),Expense,Health & Wellness,Pharmacy
Meesho,Social Commerce (India),Expense,Shopping,General Retail
Megabox,Movie Theater (Korea),Expense,Entertainment,Movies & Events
MegaFood,Whole Food Supplements,Expense,Health & Wellness,Health Products
Meijer,Supercenter,Expense,Food & Dining,Groceries
Meineke,Auto Repair & Muffler,Expense,Transportation,Car Service & Parts
Meituan,Food Delivery (China),Expense,Food & Dining,Food Delivery
Mejuri,DTC Fine Jewelry,Expense,Shopping,Clothing & Apparel
Melissa & Doug,Educational Toys,Expense,Kids & Family,Toys & Activities
Meliá Hotels,Hotel Chain (Spain),Expense,Travel,Hotels & Lodging
Mellow Mushroom,Pizza & Bar,Expense,Food & Dining,Restaurants
Menards,Home Improvement Retailer,Expense,Shopping,Home & Garden
Menchie's,Self-Serve Frozen Yogurt,Expense,Food & Dining,Ice Cream & Yogurt
Mendocino Farms,Sandwich & Salad,Expense,Food & Dining,Restaurants
Mercado Pago,Digital Payment (Latin Am),Expense,Financial Services,Banking Fees
MercadoLibre,Online Marketplace (Latin Am),Expense,Shopping,General Retail
Mercadona,Supermarket Chain,Expense,Food & Dining,Groceries
Mercari,Peer-to-Peer Marketplace,Expense,Shopping,General Retail
Mercato Metropolitano,Italian Food Market (London),Expense,Food & Dining,Groceries
Mercedes-Benz Service,Automobile Dealer Service,Expense,Transportation,Car Service & Parts
Mercure,Midscale Hotel (Accor),Expense,Travel,Hotels & Lodging
Merrell,Hiking Footwear,Expense,Shopping,Clothing & Apparel
Merrill Lynch,Wealth Management,Expense,Financial Services,Banking Fees
Merry Maids,House Cleaning Service,Expense,Housing & Utilities,Utilities
Messina,Gelato Chain (Australia),Expense,Food & Dining,Ice Cream & Yogurt
Methodical Coffee,Specialty Coffee (Greenville),Expense,Food & Dining,Coffee & Tea
Methodology,Prepared Meals (California),Expense,Food & Dining,Restaurants
MetLife,Life Insurance,Expense,Financial Services,Banking Fees
Metra,Commuter Rail (Chicago),Expense,Transportation,Public Transit
Metric Coffee,Specialty Coffee (Chicago),Expense,Food & Dining,Coffee & Tea
Metro Bike Share,Bike Share (LA),Expense,Transportation,Rideshare
Metro by T-Mobile,Prepaid Wireless,Expense,Housing & Utilities,Utilities
Metro Canada,Supermarket (Canada),Expense,Food & Dining,Groceries
Metro Transit,Minneapolis Transit,Expense,Transportation,Public Transit
Metromile,Pay-Per-Mile Insurance,Expense,Housing & Utilities,Utilities
Metropolitan Market,Specialty Grocery (WA),Expense,Food & Dining,Groceries
Metropolitan Museum of Art,Art Museum,Expense,Entertainment,Movies & Events
Mexicana Chicken,Korean Fried Chicken,Expense,Food & Dining,Restaurants
MGallery,Boutique Hotel (Accor),Expense,Travel,Hotels & Lodging
Michael Kors,Accessible Luxury Fashion,Expense,Shopping,Clothing & Apparel
Michelin,Tire Manufacturer & Service,Expense,Transportation,Car Service & Parts
Micro Center,Computer & Electronics,Expense,Shopping,Electronics
Microsoft,Software & Hardware,Expense,Shopping,Electronics
Microsoft 365,Productivity Suite,Expense,Technology,Software & SaaS
Microsoft Azure,Cloud Computing,Expense,Technology,Software & SaaS
Microsoft Gaming,Game Company,Expense,Entertainment,Gaming
Microsoft Surface,Tablet & Laptop,Expense,Shopping,Electronics
Microsoft Teams,Team Collaboration,Expense,Technology,Software & SaaS
Microtel,Budget Hotel,Expense,Travel,Hotels & Lodging
Midas,Auto Repair & Service,Expense,Transportation,Car Service & Parts
Midjourney,AI Image Generation,Expense,Technology,Software & SaaS
miHoYo/HoYoverse,Game Developer (China),Expense,Entertainment,Gaming
Milan Laser,Laser Hair Removal,Expense,Health & Wellness,Beauty & Spa
Milk Bar,Modern Bakery & Desserts,Expense,Food & Dining,Bakery & Desserts
Milksha,Milk Tea & Soft Serve (Taiwan),Expense,Food & Dining,Ice Cream & Yogurt
Miller & Carter,Steakhouse (UK),Expense,Food & Dining,Restaurants
Mindbody,Fitness & Wellness Booking,Expense,Entertainment,Sports & Recreation
Minecraft (Mojang),Sandbox Game,Expense,Entertainment,Gaming
Miniso,Variety Store Chain (China),Expense,Shopping,General Retail
Ministop,Convenience Store Chain,Expense,Food & Dining,Groceries
Mint,Budgeting App,Expense,Financial Services,Banking Fees
Mint House,Apartment Hotel,Expense,Travel,Hotels & Lodging
Mint Mobile,MVNO (Budget Wireless),Expense,Housing & Utilities,Utilities
Miro,Visual Collaboration,Expense,Technology,Software & SaaS
Mirror (Lululemon),Smart Fitness Mirror,Expense,Entertainment,Sports & Recreation
Misfits Market,Surplus Grocery,Expense,Food & Dining,Restaurants
Missguided,Online Fast Fashion,Expense,Shopping,Clothing & Apparel
Missoni,Luxury Knitwear (Italy),Expense,Shopping,Clothing & Apparel
Mister Car Wash,Car Wash Chain,Expense,Transportation,Car Service & Parts
MistoBox,Coffee Subscription,Expense,Food & Dining,Coffee & Tea
Mitchell & Ness,Vintage Sportswear,Expense,Shopping,Clothing & Apparel
Mitchell Gold + Bob Williams,Upholstery,Expense,Shopping,Home & Garden
Mitsukoshi,Department Store (Japan),Expense,Shopping,General Retail
Mitsuwa Marketplace,Japanese Supermarket,Expense,Food & Dining,Groceries
Mixpanel,Product Analytics,Expense,Technology,Software & SaaS
MLB,Professional Baseball League,Expense,Entertainment,Sports & Recreation
MLS,Professional Soccer League,Expense,Entertainment,Sports & Recreation
Mobike,Bike Share (China),Expense,Transportation,Rideshare
MOD Pizza,Fast Casual Pizza,Expense,Food & Dining,Fast Food
Mod Pizza,Fast Casual Pizza,Expense,Food & Dining,Restaurants
Modell's Sporting Goods,Sporting Goods,Expense,Shopping,Sporting Goods
Modern Apizza,New Haven Pizza,Expense,Food & Dining,Restaurants
Modern Market Eatery,Fast Casual Healthy,Expense,Food & Dining,Fast Food
Moe's Southwest Grill,Fast Casual Mexican,Expense,Food & Dining,Fast Food
Mojang Studios,Game Developer (Minecraft),Expense,Entertainment,Gaming
MOL,Gas Station (Hungary),Expense,Transportation,Gas & Fuel
Moleskine,Premium Notebooks,Expense,Shopping,Office Supplies
Molina Healthcare,Managed Care,Expense,Financial Services,Banking Fees
Mollie Stone's,Premium Grocery (CA),Expense,Food & Dining,Groceries
Molly Maid,House Cleaning Service,Expense,Housing & Utilities,Utilities
Molly Moon's,Ice Cream (Seattle),Expense,Food & Dining,Ice Cream & Yogurt
MOM's Organic Market,Organic Grocery,Expense,Food & Dining,Groceries
MoMA,Modern Art Museum,Expense,Entertainment,Movies & Events
Momofuku,Asian-American Restaurant,Expense,Food & Dining,Restaurants
Moncler,Luxury Outerwear (Italy),Expense,Shopping,Clothing & Apparel
Monday.com,Work Management Platform,Expense,Technology,Software & SaaS
Monki,Fashion (H&M Group),Expense,Shopping,Clothing & Apparel
Monmouth Coffee,Specialty Coffee (London),Expense,Food & Dining,Coffee & Tea
Monoprix,Department Store & Supermarket,Expense,Food & Dining,Groceries
Monro Muffler Brake,Auto Repair Chain,Expense,Transportation,Car Service & Parts
Montana's BBQ,BBQ Restaurant (Canada),Expense,Food & Dining,Restaurants
Montbell,Japanese Outdoor Brand,Expense,Shopping,Sporting Goods
Montblanc,Luxury Writing Instruments,Expense,Shopping,Office Supplies
Monterey Bay Aquarium,Aquarium,Expense,Entertainment,Amusement & Parks
Monzo,Digital Bank (UK),Expense,Financial Services,Banking Fees
Mophie,Portable Chargers,Expense,Shopping,Electronics
More Supermarket,Supermarket Chain,Expense,Food & Dining,Groceries
Morgan Stanley,Wealth Management,Expense,Financial Services,Banking Fees
Morimoto,Japanese Fine Dining,Expense,Food & Dining,Restaurants
Morrisons,Supermarket Chain,Expense,Food & Dining,Groceries
Morton Williams,Supermarket,Expense,Food & Dining,Groceries
Morton's Steakhouse,Fine Dining Steakhouse,Expense,Food & Dining,Restaurants
Morton's The Steakhouse,Fine Dining Steakhouse,Expense,Food & Dining,Restaurants
MOS Burger,Fast Food Burger (Japan),Expense,Food & Dining,Fast Food
Mos Burger,Fast Food Burger (Japan),Expense,Food & Dining,Fast Food
Mother's Market,Natural Grocery,Expense,Food & Dining,Groceries
Moti Mahal,Indian Restaurant,Expense,Food & Dining,Restaurants
Mountain Equipment,Alpine Clothing (UK),Expense,Shopping,Sporting Goods
Mountain Hardware,Outdoor Gear,Expense,Shopping,Sporting Goods
Mountain Hardwear,Outdoor Apparel,Expense,Shopping,Clothing & Apparel
Mountain Khakis,Outdoor Casual,Expense,Shopping,Sporting Goods
Mountain Mike's,Pizza Chain,Expense,Food & Dining,Restaurants
Mountain Mike's Pizza,Pizza Chain,Expense,Food & Dining,Fast Food
Movember,Men's Health,Expense,Donations & Gifts,Charity & Donations
Movember Foundation,Men's Health,Expense,Donations & Gifts,Charity & Donations
Moxie's,Casual Dining (Canada),Expense,Food & Dining,Restaurants
Moxy Hotels,Boutique Budget,Expense,Travel,Hotels & Lodging
mParticle,Customer Data Platform,Expense,Technology,Software & SaaS
Mr D Food,Food Delivery (South Africa),Expense,Food & Dining,Food Delivery
