public_category,root,mid_level,leaf
Ice Cream (Austin),Expense,Food & Dining,Ice Cream & Yogurt
Ice Cream (Boston),Expense,Food & Dining,Ice Cream & Yogurt
Ice Cream (LA),Expense,Food & Dining,Ice Cream & Yogurt
Ice Cream (Pennsylvania),Expense,Food & Dining,Ice Cream & Yogurt
Ice Cream (SF),Expense,Food & Dining,Ice Cream & Yogurt
Ice Cream (Seattle),Expense,Food & Dining,Ice Cream & Yogurt
Ice Cream (Texas),Expense,Food & Dining,Ice Cream & Yogurt
Ice Cream Chain,Expense,Food & Dining,Ice Cream & Yogurt
Ice Cream Shop,Expense,Food & Dining,Ice Cream & Yogurt
Italian Chocolate & Gelato,Expense,Food & Dining,Ice Cream & Yogurt
Italian Gelato Chain,Expense,Food & Dining,Ice Cream & Yogurt
Italian Ice & Frozen Custard,Expense,Food & Dining,Ice Cream & Yogurt
Italian-Style Gelato,Expense,Food & Dining,Ice Cream & Yogurt
Japanese Shaved Ice,Expense,Food & Dining,Ice Cream & Yogurt
Korean Frozen Dessert,Expense,Food & Dining,Ice Cream & Yogurt
Korean Shaved Ice,Expense,Food & Dining,Ice Cream & Yogurt
Liquid Nitrogen Gelato,Expense,Food & Dining,Ice Cream & Yogurt
Liquid Nitrogen Ice Cream,Expense,Food & Dining,Ice Cream & Yogurt
Made-to-Order Ice Cream,Expense,Food & Dining,Ice Cream & Yogurt
Milk Tea & Soft Serve (Taiwan),Expense,Food & Dining,Ice Cream & Yogurt
Mobile Ice Cream Vendor,Expense,Food & Dining,Ice Cream & Yogurt
Novelty Ice Cream,Expense,Food & Dining,Ice Cream & Yogurt
Premium Ice Cream,Expense,Food & Dining,Ice Cream & Yogurt
Self-Serve Frozen Yogurt,Expense,Food & Dining,Ice Cream & Yogurt
Shaved Ice Chain,Expense,Food & Dining,Ice Cream & Yogurt
Shaved Ice Truck,Expense,Food & Dining,Ice Cream & Yogurt
Shaved Snow (Asia),Expense,Food & Dining,Ice Cream & Yogurt
Soft Serve (Korea),Expense,Food & Dining,Ice Cream & Yogurt
Afghan Restaurant,Expense,Food & Dining,Restaurants
American (AU),Expense,Food & Dining,Restaurants
American Grill (Italy),Expense,Food & Dining,Restaurants
American Restaurant,Expense,Food & Dining,Restaurants
American Restaurant (Spain),Expense,Food & Dining,Restaurants
Apple Services Bundle,Expense,Food & Dining,Restaurants
Argentine Steakhouse (UK),Expense,Food & Dining,Restaurants
Artisan Pizza,Expense,Food & Dining,Restaurants
Asian Casual Dining,Expense,Food & Dining,Restaurants
Asian Fast Casual,Expense,Food & Dining,Restaurants
Asian Restaurant,Expense,Food & Dining,Restaurants
Asian Restaurant (Germany),Expense,Food & Dining,Restaurants
Asian-American Restaurant,Expense,Food & Dining,Restaurants
Auto Club Membership,Expense,Food & Dining,Restaurants
BBQ (Australia),Expense,Food & Dining,Restaurants
BBQ Restaurant (Canada),Expense,Food & Dining,Restaurants
Bagel Shop & Deli,Expense,Food & Dining,Restaurants
Bakery & Restaurant (Lebanon),Expense,Food & Dining,Restaurants
Bakery Cafe,Expense,Food & Dining,Restaurants
Bakery Cafe Chain,Expense,Food & Dining,Restaurants
Bar & Grill,Expense,Food & Dining,Restaurants
Bavarian Beer Hall,Expense,Food & Dining,Restaurants
Beer Hall (Munich),Expense,Food & Dining,Restaurants
Biryani Delivery,Expense,Food & Dining,Restaurants
Brazilian BBQ,Expense,Food & Dining,Restaurants
Brazilian Steakhouse,Expense,Food & Dining,Restaurants
Breakfast,Expense,Food & Dining,Restaurants
Breakfast & Brunch,Expense,Food & Dining,Restaurants
Breakfast & Brunch Restaurant,Expense,Food & Dining,Restaurants
Breakfast (Canada),Expense,Food & Dining,Restaurants
Breakfast (Florida),Expense,Food & Dining,Restaurants
Breakfast Restaurant,Expense,Food & Dining,Restaurants
Brewpub (France/Canada),Expense,Food & Dining,Restaurants
British Fish & Chips Shop,Expense,Food & Dining,Restaurants
British Restaurant,Expense,Food & Dining,Restaurants
Bubble Tea (Korea),Expense,Food & Dining,Restaurants
Budget Meal Kit,Expense,Food & Dining,Restaurants
Buffet Restaurant,Expense,Food & Dining,Restaurants
Buffet Steakhouse,Expense,Food & Dining,Restaurants
Burger & Steak (Brazil),Expense,Food & Dining,Restaurants
Burger (Australia),Expense,Food & Dining,Restaurants
Burger (Paris),Expense,Food & Dining,Restaurants
Burger Restaurant,Expense,Food & Dining,Restaurants
Burger Restaurant (Australia),Expense,Food & Dining,Restaurants
Burger Restaurant (Germany),Expense,Food & Dining,Restaurants
Burger Restaurant (UK),Expense,Food & Dining,Restaurants
Cafeteria Restaurant (France),Expense,Food & Dining,Restaurants
Cafeteria-Style Restaurant,Expense,Food & Dining,Restaurants
Cajun Seafood,Expense,Food & Dining,Restaurants
Canadian Restaurant,Expense,Food & Dining,Restaurants
Caribbean Fast Casual,Expense,Food & Dining,Restaurants
Caribbean Restaurant,Expense,Food & Dining,Restaurants
Caribbean Restaurant (UK),Expense,Food & Dining,Restaurants
Carvery Restaurant (UK),Expense,Food & Dining,Restaurants
Casual Dining & Brewhouse,Expense,Food & Dining,Restaurants
Casual Dining (Australia),Expense,Food & Dining,Restaurants
Casual Dining (Canada),Expense,Food & Dining,Restaurants
Casual Dining (Spain),Expense,Food & Dining,Restaurants
Casual Dining Burger,Expense,Food & Dining,Restaurants
Casual Dining Pizza (UK),Expense,Food & Dining,Restaurants
Casual Dining Restaurant,Expense,Food & Dining,Restaurants
Casual Dining Seafood,Expense,Food & Dining,Restaurants
Casual Dining Steakhouse,Expense,Food & Dining,Restaurants
Chai & Snacks (India),Expense,Food & Dining,Restaurants
Chai Cafe (India),Expense,Food & Dining,Restaurants
Chef-Prepared Meals,Expense,Food & Dining,Restaurants
Chicken Fingers Restaurant,Expense,Food & Dining,Restaurants
Chicken Restaurant (Germany/Austria),Expense,Food & Dining,Restaurants
Chinese Noodle Restaurant,Expense,Food & Dining,Restaurants
Chinese Restaurant (India),Expense,Food & Dining,Restaurants
Chinese Restaurant (Japan),Expense,Food & Dining,Restaurants
Chinese Restaurant Chain,Expense,Food & Dining,Restaurants
Chinese Szechuan Restaurant,Expense,Food & Dining,Restaurants
Classic Steakhouse,Expense,Food & Dining,Restaurants
Classic Steakhouse (NYC),Expense,Food & Dining,Restaurants
Coal-Fired Pizza (CT),Expense,Food & Dining,Restaurants
Coal-Fired Pizza (NYC),Expense,Food & Dining,Restaurants
Coffee & Dessert (Korea),Expense,Food & Dining,Restaurants
Coffee & Dining (Spain),Expense,Food & Dining,Restaurants
Coffee & Food (ME),Expense,Food & Dining,Restaurants
Coffee & Restaurant (SA),Expense,Food & Dining,Restaurants
Coffee Chain (Korea),Expense,Food & Dining,Restaurants
Coffee Chain (SA),Expense,Food & Dining,Restaurants
Conveyor Belt Sushi,Expense,Food & Dining,Restaurants
Conveyor Belt Sushi (UK),Expense,Food & Dining,Restaurants
Creative Taco Restaurant,Expense,Food & Dining,Restaurants
Custom Pizza,Expense,Food & Dining,Restaurants
Deep Dish Pizza (Chicago),Expense,Food & Dining,Restaurants
Deli & Sandwich Restaurant,Expense,Food & Dining,Restaurants
Delivery Subscription,Expense,Food & Dining,Restaurants
Detroit-Style Pizza (NYC),Expense,Food & Dining,Restaurants
Dim Sum Restaurant,Expense,Food & Dining,Restaurants
Diner (Breakfast),Expense,Food & Dining,Restaurants
Eastern European Restaurant,Expense,Food & Dining,Restaurants
Entertainment & Dining,Expense,Food & Dining,Restaurants
Family Diner,Expense,Food & Dining,Restaurants
Family Dining & Ice Cream,Expense,Food & Dining,Restaurants
Family Dining Restaurant,Expense,Food & Dining,Restaurants
Family Restaurant,Expense,Food & Dining,Restaurants
Family Restaurant & Gift Shop,Expense,Food & Dining,Restaurants
Family Restaurant & Pies,Expense,Food & Dining,Restaurants
Family Restaurant (Canada),Expense,Food & Dining,Restaurants
Family Restaurant (Japan),Expense,Food & Dining,Restaurants
Family Restaurant (Mexico),Expense,Food & Dining,Restaurants
Family Restaurant (Pancakes),Expense,Food & Dining,Restaurants
Family Restaurant (UK),Expense,Food & Dining,Restaurants
Family Steakhouse (South Africa),Expense,Food & Dining,Restaurants
Farm-to-Table Fast Casual,Expense,Food & Dining,Restaurants
Fast Casual,Expense,Food & Dining,Restaurants
Fast Casual (Brazil),Expense,Food & Dining,Restaurants
Fast Casual Japanese,Expense,Food & Dining,Restaurants
Fast Casual Pizza,Expense,Food & Dining,Restaurants
Fast Food (Brazil),Expense,Food & Dining,Restaurants
Fast Food (Canada),Expense,Food & Dining,Restaurants
Fast Food (India),Expense,Food & Dining,Restaurants
Fast Food (Saudi Arabia),Expense,Food & Dining,Restaurants
Fast Food (South Africa),Expense,Food & Dining,Restaurants
Fast Food (Southeast),Expense,Food & Dining,Restaurants
Fast Food Restaurant,Expense,Food & Dining,Restaurants
Fine Casual Dining,Expense,Food & Dining,Restaurants
Fine Dining,Expense,Food & Dining,Restaurants
Fine Dining (Chicago),Expense,Food & Dining,Restaurants
Fine Dining (Copenhagen),Expense,Food & Dining,Restaurants
Fine Dining (Italy),Expense,Food & Dining,Restaurants
Fine Dining (NYC),Expense,Food & Dining,Restaurants
Fine Dining (Napa),Expense,Food & Dining,Restaurants
Fine Dining (Spain),Expense,Food & Dining,Restaurants
Fine Dining (UK),Expense,Food & Dining,Restaurants
Fine Dining Seafood,Expense,Food & Dining,Restaurants
Fine Dining Steakhouse,Expense,Food & Dining,Restaurants
Fish & Chips (South Africa),Expense,Food & Dining,Restaurants
Fish Taco Restaurant,Expense,Food & Dining,Restaurants
Fondue Restaurant,Expense,Food & Dining,Restaurants
French (Dubai),Expense,Food & Dining,Restaurants
French Fine Dining,Expense,Food & Dining,Restaurants
French Fine Dining (NYC),Expense,Food & Dining,Restaurants
French Restaurant,Expense,Food & Dining,Restaurants
French Restaurant (UK),Expense,Food & Dining,Restaurants
Fried Chicken (Canada),Expense,Food & Dining,Restaurants
Fried Chicken (India),Expense,Food & Dining,Restaurants
Fried Chicken (Korea),Expense,Food & Dining,Restaurants
Frozen & Restaurant Pizza,Expense,Food & Dining,Restaurants
German Restaurant,Expense,Food & Dining,Restaurants
German Restaurant (AU),Expense,Food & Dining,Restaurants
German Sausage Restaurant,Expense,Food & Dining,Restaurants
German Street Food,Expense,Food & Dining,Restaurants
Google Cloud Storage,Expense,Food & Dining,Restaurants
Gourmet Burger (France),Expense,Food & Dining,Restaurants
Gourmet Burger (Spain),Expense,Food & Dining,Restaurants
Greek Fast Food,Expense,Food & Dining,Restaurants
Greek Restaurant,Expense,Food & Dining,Restaurants
Grill (France),Expense,Food & Dining,Restaurants
Grill Restaurant (France),Expense,Food & Dining,Restaurants
Grilled Chicken (Saudi),Expense,Food & Dining,Restaurants
Grocery + Meal Planning,Expense,Food & Dining,Restaurants
Grocery Delivery Sub,Expense,Food & Dining,Restaurants
Gyoza Chain (Japan),Expense,Food & Dining,Restaurants
Halal Restaurant,Expense,Food & Dining,Restaurants
Halal Street Food,Expense,Food & Dining,Restaurants
Health-Focused Restaurant,Expense,Food & Dining,Restaurants
Healthy Fast Casual,Expense,Food & Dining,Restaurants
Historic Pizza (NYC),Expense,Food & Dining,Restaurants
Home Kitchen Restaurant,Expense,Food & Dining,Restaurants
Hot Pot Chain,Expense,Food & Dining,Restaurants
Hot Pot Restaurant,Expense,Food & Dining,Restaurants
Ice Cream & Dessert Shop,Expense,Food & Dining,Restaurants
Indian BBQ Chain,Expense,Food & Dining,Restaurants
Indian Biryani,Expense,Food & Dining,Restaurants
Indian Biryani Restaurant,Expense,Food & Dining,Restaurants
Indian Buffet,Expense,Food & Dining,Restaurants
Indian Casual Dining (UK),Expense,Food & Dining,Restaurants
Indian Fast Casual,Expense,Food & Dining,Restaurants
Indian Fine Dining (Dubai),Expense,Food & Dining,Restaurants
Indian Fine Dining (UK),Expense,Food & Dining,Restaurants
Indian Meal Delivery,Expense,Food & Dining,Restaurants
Indian Restaurant,Expense,Food & Dining,Restaurants
Indian Restaurant & Sweets,Expense,Food & Dining,Restaurants
Indian Restaurant (UK),Expense,Food & Dining,Restaurants
Indian Thali Chain,Expense,Food & Dining,Restaurants
Indian Wraps Delivery,Expense,Food & Dining,Restaurants
Italian (South Africa),Expense,Food & Dining,Restaurants
Italian Casual Dining,Expense,Food & Dining,Restaurants
Italian Chain (Japan),Expense,Food & Dining,Restaurants
Italian Family Restaurant,Expense,Food & Dining,Restaurants
Italian Fast Casual (Brazil),Expense,Food & Dining,Restaurants
Italian Flatbread,Expense,Food & Dining,Restaurants
Italian Pizza Chain,Expense,Food & Dining,Restaurants
Italian Pizzeria,Expense,Food & Dining,Restaurants
Italian Restaurant,Expense,Food & Dining,Restaurants
Italian Restaurant (France),Expense,Food & Dining,Restaurants
Italian Restaurant (Germany),Expense,Food & Dining,Restaurants
Italian Restaurant (SF),Expense,Food & Dining,Restaurants
Italian Restaurant (Spain),Expense,Food & Dining,Restaurants
Italian Restaurant (UK),Expense,Food & Dining,Restaurants
Italian-American Restaurant (UK),Expense,Food & Dining,Restaurants
Izakaya (Japan),Expense,Food & Dining,Restaurants
Izakaya Chain (Japan),Expense,Food & Dining,Restaurants
Japanese BBQ Restaurant,Expense,Food & Dining,Restaurants
Japanese Cheesecake,Expense,Food & Dining,Restaurants
Japanese Curry,Expense,Food & Dining,Restaurants
Japanese Fast Casual (UK),Expense,Food & Dining,Restaurants
Japanese Fine Dining,Expense,Food & Dining,Restaurants
Japanese Home Cooking Chain,Expense,Food & Dining,Restaurants
Japanese Izakaya Chain,Expense,Food & Dining,Restaurants
Japanese Ramen Restaurant,Expense,Food & Dining,Restaurants
Japanese Restaurant,Expense,Food & Dining,Restaurants
Japanese Restaurant (Dubai),Expense,Food & Dining,Restaurants
Japanese Restaurant Chain,Expense,Food & Dining,Restaurants
Japanese Sushi Restaurant,Expense,Food & Dining,Restaurants
Japanese Teppanyaki Restaurant,Expense,Food & Dining,Restaurants
Japanese Udon Chain,Expense,Food & Dining,Restaurants
Kolache Restaurant,Expense,Food & Dining,Restaurants
Korean BBQ,Expense,Food & Dining,Restaurants
Korean BBQ Chain,Expense,Food & Dining,Restaurants
Korean BBQ Restaurant,Expense,Food & Dining,Restaurants
Korean Fried Chicken,Expense,Food & Dining,Restaurants
Korean Pizza,Expense,Food & Dining,Restaurants
Latin American Restaurant (UK),Expense,Food & Dining,Restaurants
Lebanese Fast Casual,Expense,Food & Dining,Restaurants
Lebanese Flatbread,Expense,Food & Dining,Restaurants
Lebanese Restaurant,Expense,Food & Dining,Restaurants
Lebanese Restaurant (UK),Expense,Food & Dining,Restaurants
Legendary Pizza (Brooklyn),Expense,Food & Dining,Restaurants
Lobster Roll Shop,Expense,Food & Dining,Restaurants
Malaysian Coffee & Food,Expense,Food & Dining,Restaurants
Malaysian Restaurant,Expense,Food & Dining,Restaurants
Malaysian Restaurant (Australia),Expense,Food & Dining,Restaurants
Malaysian Restaurant Chain,Expense,Food & Dining,Restaurants
Meal Kit Delivery,Expense,Food & Dining,Restaurants
Meal Prep Service,Expense,Food & Dining,Restaurants
Mediterranean,Expense,Food & Dining,Restaurants
Mediterranean Fast Casual,Expense,Food & Dining,Restaurants
Mexican (Australia),Expense,Food & Dining,Restaurants
Mexican Fast Casual (Australia),Expense,Food & Dining,Restaurants
Mexican Health,Expense,Food & Dining,Restaurants
Mexican Pozole Restaurant,Expense,Food & Dining,Restaurants
Mexican Restaurant,Expense,Food & Dining,Restaurants
Mexican Restaurant (Germany),Expense,Food & Dining,Restaurants
Mexican Street Food (UK),Expense,Food & Dining,Restaurants
Middle Eastern Fast Casual,Expense,Food & Dining,Restaurants
Middle Eastern Grill,Expense,Food & Dining,Restaurants
Middle Eastern Restaurant,Expense,Food & Dining,Restaurants
Mobile Food Vendor,Expense,Food & Dining,Restaurants
Modern Indian Fine Dining,Expense,Food & Dining,Restaurants
Modern Steakhouse,Expense,Food & Dining,Restaurants
Mongolian Hot Pot,Expense,Food & Dining,Restaurants
Mozzarella Bar (Italy),Expense,Food & Dining,Restaurants
Mughlai,Expense,Food & Dining,Restaurants
Mughlai Restaurant,Expense,Food & Dining,Restaurants
Music Subscription,Expense,Food & Dining,Restaurants
NYC Slice Shop,Expense,Food & Dining,Restaurants
Neapolitan Pizza,Expense,Food & Dining,Restaurants
Neapolitan Pizza (UK),Expense,Food & Dining,Restaurants
New Haven Pizza,Expense,Food & Dining,Restaurants
North Indian Fine Dining,Expense,Food & Dining,Restaurants
North Indian Restaurant,Expense,Food & Dining,Restaurants
Online Grocery,Expense,Food & Dining,Restaurants
Organic Meal Kit,Expense,Food & Dining,Restaurants
Organic Prepared Meals,Expense,Food & Dining,Restaurants
Oven-Roasted Chicken (Korea),Expense,Food & Dining,Restaurants
Pakistani Restaurant,Expense,Food & Dining,Restaurants
Paleo Meal Delivery,Expense,Food & Dining,Restaurants
Peri-Peri Chicken,Expense,Food & Dining,Restaurants
Peri-Peri Chicken (UK),Expense,Food & Dining,Restaurants
Pizza & Bar,Expense,Food & Dining,Restaurants
Pizza & Buffet,Expense,Food & Dining,Restaurants
Pizza & Casual Dining,Expense,Food & Dining,Restaurants
Pizza & Sports Bar (Canada),Expense,Food & Dining,Restaurants
Pizza (Australia),Expense,Food & Dining,Restaurants
Pizza (Brooklyn),Expense,Food & Dining,Restaurants
Pizza (India),Expense,Food & Dining,Restaurants
Pizza (NYC),Expense,Food & Dining,Restaurants
Pizza (Phoenix),Expense,Food & Dining,Restaurants
Pizza (SF),Expense,Food & Dining,Restaurants
Pizza (Saudi Arabia),Expense,Food & Dining,Restaurants
Pizza (South Africa),Expense,Food & Dining,Restaurants
Pizza Buffet,Expense,Food & Dining,Restaurants
Pizza Chain,Expense,Food & Dining,Restaurants
Pizza Chain (Korea),Expense,Food & Dining,Restaurants
Pizza Chain (Milan),Expense,Food & Dining,Restaurants
Pizza Delivery (Australia),Expense,Food & Dining,Restaurants
Pizza Delivery (UK),Expense,Food & Dining,Restaurants
Pizza Restaurant (UK),Expense,Food & Dining,Restaurants
Pizza al Taglio (Italy),Expense,Food & Dining,Restaurants
Pizzeria,Expense,Food & Dining,Restaurants
Plant-Based Meal Delivery,Expense,Food & Dining,Restaurants
Plant-Based Meal Kit,Expense,Food & Dining,Restaurants
Plant-Based Meals,Expense,Food & Dining,Restaurants
Prepared Meal Delivery,Expense,Food & Dining,Restaurants
Prepared Meals,Expense,Food & Dining,Restaurants
Prepared Meals (California),Expense,Food & Dining,Restaurants
Prepared Meals (NJ),Expense,Food & Dining,Restaurants
Pub Chain (UK),Expense,Food & Dining,Restaurants
Pub Restaurant (UK),Expense,Food & Dining,Restaurants
Ramen & Chinese (Japan),Expense,Food & Dining,Restaurants
Ramen (Austin),Expense,Food & Dining,Restaurants
Ramen Chain (Japan),Expense,Food & Dining,Restaurants
Ramen Restaurant,Expense,Food & Dining,Restaurants
Ramen Restaurant Chain,Expense,Food & Dining,Restaurants
Regional Restaurant (BC),Expense,Food & Dining,Restaurants
Restaurant,Expense,Food & Dining,Restaurants
Restaurant & Bar,Expense,Food & Dining,Restaurants
Restaurant & Bar (Germany),Expense,Food & Dining,Restaurants
Restaurant & Pub (UK),Expense,Food & Dining,Restaurants
Restaurant & Retail (Mexico),Expense,Food & Dining,Restaurants
Restaurant Chain (Germany),Expense,Food & Dining,Restaurants
Restaurant Group,Expense,Food & Dining,Restaurants
Retail Loyalty Program,Expense,Food & Dining,Restaurants
Retail Subscription,Expense,Food & Dining,Restaurants
Ribs & Steak (Australia),Expense,Food & Dining,Restaurants
Ride & Delivery Sub,Expense,Food & Dining,Restaurants
Rotisserie (Canada),Expense,Food & Dining,Restaurants
Rotisserie Restaurant,Expense,Food & Dining,Restaurants
Salad & Bowls (Germany),Expense,Food & Dining,Restaurants
Salad & Plates,Expense,Food & Dining,Restaurants
Salad Fast Casual,Expense,Food & Dining,Restaurants
Salad Restaurant Chain,Expense,Food & Dining,Restaurants
Sandwich & Salad,Expense,Food & Dining,Restaurants
Sandwich Chain (India),Expense,Food & Dining,Restaurants
Sandwich Restaurant,Expense,Food & Dining,Restaurants
Seafood (Dubai),Expense,Food & Dining,Restaurants
Seafood (South Africa),Expense,Food & Dining,Restaurants
Seafood Restaurant,Expense,Food & Dining,Restaurants
Seafood Restaurant (Brazil),Expense,Food & Dining,Restaurants
Shawarma Chain (Saudi),Expense,Food & Dining,Restaurants
Shawarma Restaurant,Expense,Food & Dining,Restaurants
Smart Oven + Meal Delivery,Expense,Food & Dining,Restaurants
Sourdough Pizza (UK),Expense,Food & Dining,Restaurants
South Asian BBQ Restaurant,Expense,Food & Dining,Restaurants
South Asian Grill,Expense,Food & Dining,Restaurants
South Asian Restaurant,Expense,Food & Dining,Restaurants
South Indian Fast Casual,Expense,Food & Dining,Restaurants
South Indian Fine Dining,Expense,Food & Dining,Restaurants
South Indian Restaurant,Expense,Food & Dining,Restaurants
South Indian Vegetarian,Expense,Food & Dining,Restaurants
South Shore Pizza (MA),Expense,Food & Dining,Restaurants
Spanish Restaurant,Expense,Food & Dining,Restaurants
Spanish Tapas Bar,Expense,Food & Dining,Restaurants
Spanish Tapas Chain,Expense,Food & Dining,Restaurants
Spanish Tapas Restaurant,Expense,Food & Dining,Restaurants
Sports Bar & Wings,Expense,Food & Dining,Restaurants
Sports Lodge,Expense,Food & Dining,Restaurants
Steakhouse,Expense,Food & Dining,Restaurants
Steakhouse (AU),Expense,Food & Dining,Restaurants
Steakhouse (Australia),Expense,Food & Dining,Restaurants
Steakhouse (Canada),Expense,Food & Dining,Restaurants
Steakhouse (France),Expense,Food & Dining,Restaurants
Steakhouse (Germany),Expense,Food & Dining,Restaurants
Steakhouse (Italy),Expense,Food & Dining,Restaurants
Steakhouse (Middle East),Expense,Food & Dining,Restaurants
Steakhouse (South Africa),Expense,Food & Dining,Restaurants
Steakhouse (UK),Expense,Food & Dining,Restaurants
Sub Sandwich Restaurant,Expense,Food & Dining,Restaurants
Subscription Service,Expense,Food & Dining,Restaurants
Surplus Grocery,Expense,Food & Dining,Restaurants
Surplus Grocery Delivery,Expense,Food & Dining,Restaurants
Sushi (Australia),Expense,Food & Dining,Restaurants
Sushi Chain,Expense,Food & Dining,Restaurants
Sushi Restaurant,Expense,Food & Dining,Restaurants
Szechuan Restaurant,Expense,Food & Dining,Restaurants
Taco Restaurant,Expense,Food & Dining,Restaurants
Taiwanese Dumpling Restaurant,Expense,Food & Dining,Restaurants
Tapas Chain (Spain),Expense,Food & Dining,Restaurants
Teriyaki Fast Casual,Expense,Food & Dining,Restaurants
Tex-Mex Restaurant,Expense,Food & Dining,Restaurants
Thai Restaurant,Expense,Food & Dining,Restaurants
Thai Restaurant (UK),Expense,Food & Dining,Restaurants
Thai Restaurant Chain,Expense,Food & Dining,Restaurants
Turkish Kebab Restaurant,Expense,Food & Dining,Restaurants
Turkish Restaurant,Expense,Food & Dining,Restaurants
Turkish Steakhouse,Expense,Food & Dining,Restaurants
Udon & Donburi (Japan),Expense,Food & Dining,Restaurants
Udon Chain (Japan),Expense,Food & Dining,Restaurants
Udon Restaurant Chain,Expense,Food & Dining,Restaurants
Upscale Seafood,Expense,Food & Dining,Restaurants
Upscale Seafood & Steak,Expense,Food & Dining,Restaurants
Upscale Steakhouse,Expense,Food & Dining,Restaurants
Vietnamese (Australia),Expense,Food & Dining,Restaurants
Vietnamese Restaurant (UK),Expense,Food & Dining,Restaurants
Warehouse Club,Expense,Food & Dining,Restaurants
Warehouse Club Membership,Expense,Food & Dining,Restaurants
World Food Restaurant (UK),Expense,Food & Dining,Restaurants
Yakitori Chain (Japan),Expense,Food & Dining,Restaurants
Bubble Tea Shop,Expense,Food & Dining,Snacks & Drinks
Chocolate & Candy,Expense,Food & Dining,Snacks & Drinks
Chocolate & Confectionery,Expense,Food & Dining,Snacks & Drinks
Chocolate & Fudge,Expense,Food & Dining,Snacks & Drinks
Chocolate Company,Expense,Food & Dining,Snacks & Drinks
Chocolatier & Candy Shop,Expense,Food & Dining,Snacks & Drinks
Cold-Pressed Juice,Expense,Food & Dining,Snacks & Drinks
Cookie & Snack Chain,Expense,Food & Dining,Snacks & Drinks
Cookie Chain,Expense,Food & Dining,Snacks & Drinks
Frozen Smoothie Delivery,Expense,Food & Dining,Snacks & Drinks
Gourmet Popcorn,Expense,Food & Dining,Snacks & Drinks
Gummy Candy Maker,Expense,Food & Dining,Snacks & Drinks
Japanese Chocolate,Expense,Food & Dining,Snacks & Drinks
Japanese Snack Brand,Expense,Food & Dining,Snacks & Drinks
Japanese Souvenir Snack,Expense,Food & Dining,Snacks & Drinks
Juice & Coffee Bar,Expense,Food & Dining,Snacks & Drinks
Juice & Smoothie (AU),Expense,Food & Dining,Snacks & Drinks
Juice Bar & Dessert Shop,Expense,Food & Dining,Snacks & Drinks
Luxury Chocolate,Expense,Food & Dining,Snacks & Drinks
Nutrition Supplement,Expense,Food & Dining,Snacks & Drinks
Organic Juice Bar,Expense,Food & Dining,Snacks & Drinks
Premium Chocolate,Expense,Food & Dining,Snacks & Drinks
Premium Chocolate (Japan),Expense,Food & Dining,Snacks & Drinks
Smoothie & Food,Expense,Food & Dining,Snacks & Drinks
Smoothie & Juice,Expense,Food & Dining,Snacks & Drinks
Smoothie & Juice Chain,Expense,Food & Dining,Snacks & Drinks
Smoothie Chain,Expense,Food & Dining,Snacks & Drinks
South Asian Sweet Shop,Expense,Food & Dining,Snacks & Drinks
Specialty Snack Shop,Expense,Food & Dining,Snacks & Drinks
Swiss Chocolate,Expense,Food & Dining,Snacks & Drinks
Vending Machine Operator,Expense,Food & Dining,Snacks & Drinks
Affordable Cosmetics,Expense,Health & Wellness,Beauty & Spa
Affordable Skincare,Expense,Health & Wellness,Beauty & Spa
Bath & Body Products,Expense,Health & Wellness,Beauty & Spa
Bath & Body Products Retailer,Expense,Health & Wellness,Beauty & Spa
Beauty & Cosmetics Retailer,Expense,Health & Wellness,Beauty & Spa
Beauty Salon,Expense,Health & Wellness,Beauty & Spa
Blowout Bar,Expense,Health & Wellness,Beauty & Spa
Budget Cosmetics,Expense,Health & Wellness,Beauty & Spa
Cosmetics Brand,Expense,Health & Wellness,Beauty & Spa
DTC Beauty Brand,Expense,Health & Wellness,Beauty & Spa
Day Spa,Expense,Health & Wellness,Beauty & Spa
Dermatologist Skincare,Expense,Health & Wellness,Beauty & Spa
Elizabeth Arden Spa,Expense,Health & Wellness,Beauty & Spa
Fresh Handmade Cosmetics,Expense,Health & Wellness,Beauty & Spa
Hair & Beauty Salon,Expense,Health & Wellness,Beauty & Spa
Hair Color Salon & DTC,Expense,Health & Wellness,Beauty & Spa
Hair Salon,Expense,Health & Wellness,Beauty & Spa
Hair Salon (UK),Expense,Health & Wellness,Beauty & Spa
Hair Salon (Walmart),Expense,Health & Wellness,Beauty & Spa
Hair Salon Chain,Expense,Health & Wellness,Beauty & Spa
Home & Body (Netherlands),Expense,Health & Wellness,Beauty & Spa
Inclusive Cosmetics Brand,Expense,Health & Wellness,Beauty & Spa
K-Beauty Conglomerate,Expense,Health & Wellness,Beauty & Spa
K-Beauty Skincare,Expense,Health & Wellness,Beauty & Spa
Laser & Light Facial,Expense,Health & Wellness,Beauty & Spa
Laser Hair Removal,Expense,Health & Wellness,Beauty & Spa
Luxury Cosmetics (UK),Expense,Health & Wellness,Beauty & Spa
Luxury Fragrance,Expense,Health & Wellness,Beauty & Spa
Luxury Fragrance & Candles,Expense,Health & Wellness,Beauty & Spa
Luxury K-Beauty,Expense,Health & Wellness,Beauty & Spa
Luxury Skincare (Japanese-Inspired),Expense,Health & Wellness,Beauty & Spa
Mass Market Beauty,Expense,Health & Wellness,Beauty & Spa
Mass Market Cosmetics,Expense,Health & Wellness,Beauty & Spa
Massage & Facial Spa,Expense,Health & Wellness,Beauty & Spa
